Price,Address,Bedrooms,Energy class,Primary energy consumption,Furnished,Terrace,Terrace surface,Surface of the plot,Living room surface,Number of frontages,Construction year,Building condition,Bathrooms,Shower rooms,Office,Toilets,Kitchen type,Heating type,immo_code,postal code
199000.0,Herbert Hooverplein 14,1,B,123,1,1,0,0,0,2,2011,As new,1,1,0,1,Installed,Gas,10666884,3000
365000.0,Avenue Louise 433,5,G,546,0,0,0,0,21,2,1894,Good,1,1,0,1,Installed,Gas,10666879,1000
245000.0,Avenue Louise 433,2,E,217,0,0,0,0,21,2,1894,Good,1,1,0,1,Installed,Gas,10666878,1000
480000.0,Parklaan 59/1,5,G,431,0,0,16,98,20,2,1899,Good,3,4,0,4,Semi equipped,0,10455486,1210
599000.0,Rue de Tirlemont 23,4,B,124,0,0,120,1335,31,4,1900,As new,4,2,1,4,USA hyper equipped,0,3,20
269000.0,Rue de Tirlemont 23,3,G,580,0,1,0,528,31,2,1920,To renovate,1,0,0,1,USA semi equipped,0,10449507,5310
269000.0,Tervuursesteenweg 762 Bus 2,2,B,191,0,0,12,0,49,2,1996,As new,1,1,0,1,Hyper equipped,0,10666856,1800
640000.0,Brusselsesteenweg 415,4,E,472,0,0,0,560,37,4,1971,To renovate,2,0,0,2,Semi equipped,Fuel oil,10666852,3090
329000.0,Alsembergsesteenweg 660,2,E,486,0,0,0,402,0,4,1900,To be done up,1,0,0,2,Semi equipped,Fuel oil,10666836,1755
435000.0,Brusselsesteenweg 594,5,F,336,0,0,28,100,47,2,1927,Good,2,0,1,3,Semi equipped,Gas,10666833,1090
245000.0,Rue André Baillon 28 bte 5,2,E,216,0,0,0,0,45,2,2003,As new,1,1,0,2,Hyper equipped,Gas,10666827,1070
795000.0,Kardinaal Mercierlaan 81,4,B,118,0,1,0,1663,100,3,1957,Good,2,2,1,3,USA hyper equipped,Gas,10666826,1910
549000.0,Mechelsesteenweg 161A 002,3,B,163,0,1,0,525,42,4,2006,Good,1,0,0,2,Hyper equipped,Gas,2830,20
640000.0,Kardinaal Mercierlaan 81,4,A,93,0,1,0,517,31,4,2009,As new,1,0,0,2,Hyper equipped,Gas,10666824,3001
430000.0,Avenue Reine Astrid 215,3,B,93,0,0,14,0,44,4,2023,0,2,0,0,2,USA hyper equipped,Gas,1420,27
1490000.0,Avenue Legrand 30,4,D,197,0,0,6,0,0,2,1930,Just renovated,3,2,1,0,Hyper equipped,Fuel oil,10666814,1000
825000.0,"Avenue Delleur, 8",2,C,136,0,0,10,0,0,2,1966,As new,1,1,0,2,Hyper equipped,Gas,10666807,1180
369000.0,Lange Lobroekstraat 67,2,E,485,0,0,0,0,32,2,1938,Good,1,0,0,1,USA hyper equipped,0,10666803,2000
240000.0,Clemenshoek 74,4,C,247,0,1,0,78,0,2,1956,As new,1,0,0,0,Installed,0,10617204,2850
249000.0,Grotestraat 28,2,D,393,0,1,0,620,32,3,1963,Good,1,0,0,2,Installed,Gas,10666794,9310
925000.0,Achiel Cleynhenslaan 19,4,C,259,0,1,0,1750,46,4,1991,As new,1,2,1,3,Hyper equipped,Gas,10420464,2230
